"agegrp"	"occ_code"	"ranking"	"rate_abs"	"n"
7	7135	110	0.00173830798930671	805
8	7135	69	0.00266942219925945	1178
9	7135	90	0.00190342182236978	790
10	7135	23	0.00724923659101151	2590
11	7135	88	0.00191363895758037	503
6	7201	147	0.000973752059860127	494
11	7201	98	0.00176906981167967	465
5	7211	133	0.00105436438833261	465
7	7211	78	0.00292597183293241	1355
8	7211	84	0.0020938422004378	924
11	7211	64	0.00351531291611185	924
12	7211	54	0.00441565948253398	932
13	7211	74	0.00218311258665233	747
4	7212	27	0.0070453693605341	2500
5	7212	146	0.00095686402554056	422
6	7212	79	0.00269851532378242	1369
7	7212	147	0.000902624521155532	418
9	7212	52	0.00423330650873887	1757
10	7212	137	0.000878864976670893	314
11	7212	34	0.00592733498192886	1558
4	7213	122	0.000946897642055782	336
5	7213	108	0.00182756493977652	806
6	7213	87	0.00243635130766623	1236
7	7213	74	0.00319157665614325	1478
9	7213	139	0.000903523016947682	375
10	7213	43	0.0048197627064563	1722
13	7213	56	0.00336965035128532	1153
4	7221	45	0.00438503788999642	1556
5	7221	69	0.00276855681323465	1221
6	7221	32	0.00634515765321811	3219
7	7221	42	0.00521492396792012	2415
8	7221	32	0.0054770742407556	2417
9	7221	142	0.000852925727998612	354
11	7221	10	0.013905269164923	3655
11	7222	87	0.00200494578657029	527
13	7222	105	0.00110763008077809	379
5	7223	111	0.00179582063561167	792
6	7223	91	0.00218010076559777	1106
7	7223	154	0.000863755522636873	400
8	7223	124	0.00104918716320639	463
9	7223	133	0.000944482727049311	392
10	7223	135	0.000976827633306184	349
5	7301	130	0.00110424829487738	487
4	7311	30	0.00688755308685813	2444
5	7311	46	0.00463920330866347	2046
6	7311	107	0.00184697506090878	937
7	7311	113	0.00165193243704302	765
8	7311	29	0.00601413116878997	2654
10	7311	34	0.00571262234836081	2041
11	7311	62	0.00356857523302264	938
12	7311	71	0.00349178223028707	737
13	7311	34	0.00550308032217715	1883
4	7312	127	0.000276178478932937	98
5	7312	154	0.000902445218400813	398
5	7321	95	0.00205430996952547	906
6	7321	130	0.00145274345772655	737
10	7321	83	0.0024406696167421	872
11	7321	84	0.00214571048126308	564
5	7322	165	0.000761863299956465	336
8	7322	137	0.000931351887857075	411
10	7322	110	0.00122873160751122	439
11	7322	99	0.00176906981167967	465
12	7322	82	0.00230258638252308	486
4	7332	62	0.00306332659796022	1087
12	7332	80	0.00238786735965357	504
13	7332	89	0.00125960043486901	431
4	7341	51	0.00362977429454717	1288
5	7341	49	0.00447367943694674	1973
6	7341	117	0.00165183041733358	838
7	7341	73	0.0032304456546619	1496
8	7341	10	0.0117993899758438	5207
9	7341	14	0.0114133027500831	4737
10	7341	85	0.00233151122791992	833
12	7341	17	0.00859916519399053	1815
13	7341	32	0.00598237143892545	2047
4	7342	49	0.00370586428364093	1315
6	7342	106	0.00188245590519518	955
7	7342	135	0.00103002846074447	477
8	7342	89	0.00198507117703844	876
9	7342	109	0.00117578461938792	488
13	7342	75	0.0021451199981296	734
6	7343	172	0.000709616885728028	360
8	7343	91	0.00188309834260153	831
7	7351	158	0.000818408357698437	379
8	7351	128	0.00101972834436906	450
9	7351	84	0.00218532100365746	907
10	7352	127	0.00111397535259559	398
4	7353	67	0.00289423773330741	1027
5	7353	58	0.00373449063996517	1647
6	7353	71	0.00309077576894874	1568
7	7353	112	0.00170591715720782	790
8	7353	62	0.00299120314348258	1320
9	7353	116	0.00104808669965931	435
11	7353	69	0.00321856572189462	846
12	7353	41	0.00587491175787783	1240
13	7353	72	0.00227078779093555	777
5	7411	76	0.00245338122188362	1082
9	7411	96	0.00169139508772606	702
10	7411	36	0.00543832690978199	1943
11	7411	90	0.00190222560395663	500
12	7411	32	0.00665665404824061	1405
13	7411	49	0.00381387138632033	1305
4	7412	92	0.00141752831533946	503
5	7412	88	0.00223343854302714	985
6	7412	177	0.000331154546673079	168
7	7412	43	0.00518685191343442	2402
11	7501	81	0.0024690888339357	649
4	7511	94	0.00134707462173412	478
5	7511	29	0.00652345450587723	2877
6	7511	43	0.00495746241001664	2515
7	7511	72	0.00324556137630805	1503
9	7511	42	0.0045368902424333	1883
10	7511	107	0.00129590600063256	463
11	7511	32	0.00605288187178999	1591
12	7511	84	0.0022173054053926	468
13	7511	99	0.00118946027144243	407
4	7512	81	0.00207979303522967	738
5	7512	114	0.00167337831954724	738
7	7512	48	0.0047506553745028	2200
10	7512	92	0.00202642752582715	724
11	7512	78	0.00280768499143998	738
12	7512	26	0.00692671047582047	1462
13	7512	76	0.00211589493003519	724
4	7513	14	0.0108047784513151	3834
5	7513	57	0.00387734000870701	1710
6	7513	155	0.000859424894937278	436
7	7513	30	0.00611970787788224	2834
8	7513	6	0.0148427125680385	6550
9	7513	18	0.0100929544479836	4189
10	7513	16	0.00846957139938256	3026
12	7513	23	0.00747156116304301	1577
13	7513	31	0.00647627508972096	2216
8	7514	92	0.00188309834260153	831
4	7515	75	0.00228833596830147	812
5	7515	109	0.00180715788709911	797
6	7515	157	0.000849569104857722	431
8	7515	158	0.000274193621485903	121
9	7515	99	0.00146732137952304	609
10	7515	120	0.00113916575001609	407
11	7515	73	0.00303214761270687	797
6	7517	103	0.00192779253956114	978
7	7517	139	0.000973884351773074	451
10	7517	100	0.00149183131390314	533
11	7517	120	0.00151797603195739	399
13	7517	70	0.00232631542031493	796
8	7611	149	0.000867902124207444	383
11	7611	68	0.00331367700209245	871
13	7611	104	0.00113393264206306	388
4	7612	21	0.0085136243352694	3021
5	7612	33	0.00608356914816427	2683
6	7612	30	0.00671573536020942	3407
7	7612	97	0.0019887970908714	921
8	7612	19	0.00888523297393574	3921
9	7612	55	0.00343097806968933	1424
10	7612	72	0.0025890130682184	925
11	7612	55	0.00394902035381396	1038
12	7612	96	0.00196620030606395	415
13	7612	59	0.00300725950691465	1029
5	7613	51	0.00438751632564214	1935
7	7999	152	0.000883190021896202	409
4	8101	43	0.00455130860690503	1615
5	8101	41	0.00503600711072413	2221
6	8101	22	0.0081921327141269	4156
7	8101	35	0.0057720462800209	2673
8	8101	54	0.00334017684355554	1474
9	8101	13	0.0117939871145571	4895
10	8101	39	0.00517522720339007	1849
11	8101	19	0.00887958911926955	2334
12	8101	70	0.00353916055091511	747
13	8101	52	0.00359760588242171	1231
10	8113	125	0.00111677428564231	399
8	8114	131	0.000976673147606811	431
4	8121	72	0.00234751707092996	833
7	8121	156	0.000848639800990728	393
13	8121	90	0.00125667792805957	430
7	8122	90	0.00221985169317676	1028
4	8123	46	0.00421313087759939	1495
5	8123	144	0.000975003627920476	430
6	8123	122	0.00157101293868122	797
7	8123	39	0.00543302223738593	2516
8	8123	33	0.00536150502839377	2366
9	8123	16	0.0108639607557789	4509
10	8123	57	0.00345108444660895	1233
11	8123	75	0.00292181852767738	768
4	8131	100	0.00118925834805816	422
5	8131	149	0.000931922072268176	411
6	8131	112	0.00174841716011322	887
8	8131	65	0.00275553259278395	1216
10	8131	62	0.00289689570335788	1035
8	8132	139	0.000904159132007233	399
13	8132	101	0.00116608021696691	399
4	8133	58	0.00319577954193827	1134
5	8133	128	0.00118360905528951	522
7	8133	68	0.00348525353383978	1614
8	8133	48	0.00402679392876404	1777
9	8133	35	0.00519465499877121	2156
10	8133	99	0.00150862491218348	539
11	8133	37	0.00553167205630588	1454
12	8133	38	0.00630131664353025	1330
13	8133	86	0.00136773318681833	468
11	8134	79	0.00267072474795511	702
12	8135	86	0.00220309190920419	465
11	8141	51	0.00428761651131824	1127
6	8142	173	0.000701732253664383	356
8	8143	74	0.00246094440441067	1086
9	8144	81	0.00221664313491165	920
4	8152	89	0.00150207274766587	533
4	8153	111	0.00113007724542967	401
5	8153	27	0.00661188506747932	2916
7	8153	70	0.00347013781219364	1607
8	8153	116	0.00113076543075591	499
9	8153	39	0.0049633531064326	2060
10	8153	136	0.000957235101979126	342
11	8153	133	0.00136199353243295	358
12	8153	39	0.00623024916258818	1315
13	8153	114	0.00101995487649486	349
5	8154	60	0.00355989696705848	1570
6	8154	83	0.00252702457639814	1282
7	8154	98	0.00197368136922525	914
8	8154	141	0.000897360943044773	396
9	8154	41	0.00480674245016167	1995
10	8154	35	0.005488707704623	1961
12	8154	68	0.00363865502423401	768
5	8155	123	0.00127657451748658	563
9	8155	75	0.00237325379118258	985
4	8161	33	0.006529648323343	2317
5	8161	55	0.00391815411406182	1728
6	8161	31	0.00668419683195484	3391
7	8161	66	0.00360186052939576	1668
8	8161	77	0.00230231999528659	1016
9	8161	53	0.00412006495728143	1710
10	8161	122	0.00113076895087593	404
11	8161	48	0.00440555449876355	1158
4	8163	78	0.00213051969462551	756
5	8163	162	0.000857096212451023	378
6	8163	62	0.00351457474236965	1783
8	8163	82	0.00212556708226262	938
4	8172	126	0.00034099587704985	121
12	8173	109	0.00169614387848408	358
13	8173	111	0.00104625743777983	358
11	8181	70	0.00316910785619174	833
4	8201	79	0.00211361080816023	750
5	8201	15	0.0100039907125236	4412
6	8201	38	0.00528270348264198	2680
7	8201	117	0.00158283199523207	733
8	8201	70	0.00261277062457228	1153
9	8201	56	0.00336833380718096	1398
10	8201	80	0.00250224614376999	894
12	8201	91	0.00198988946637797	420
13	8201	64	0.00275007890768385	941
4	8211	117	0.00106525984731276	378
6	8211	152	0.000894905739223679	454
10	8211	116	0.00116995401353004	418
11	8211	58	0.00393760700019022	1035
12	8211	93	0.00198515163431517	419
4	8212	41	0.00483875967681482	1717
5	8212	72	0.00264384704687273	1166
6	8212	27	0.00713756317561441	3621
7	8212	23	0.00733760316480023	3398
8	8212	47	0.00416275770801325	1837
9	8212	24	0.00705711711103937	2929
10	8212	20	0.00777263707074863	2777
11	8212	118	0.00152558493437322	401
12	8212	92	0.00198988946637797	420
6	8301	135	0.00138375292716965	702
8	8324	83	0.00212330101927513	937
5	8331	89	0.00221756639094471	978
4	8341	9	0.0146459138266783	5197
5	8341	2	0.0289077238426934	12749
6	8341	6	0.0181287402723352	9197
7	8341	9	0.0136149464255637	6305
8	8341	8	0.0131952847761356	5823
9	8341	7	0.0159526023872283	6621
10	8341	8	0.0177816216458286	6353
11	8341	11	0.0122313106334411	3215
12	8341	10	0.0154405946926805	3259
13	8341	38	0.00513192195737816	1756
4	8342	13	0.0109175043610836	3874
5	8342	24	0.00716060803947177	3158
6	8342	108	0.00183711927082923	932
7	8342	6	0.0182144445836051	8435
8	8342	12	0.0114912054095456	5071
9	8342	30	0.00616082227822726	2557
10	8342	52	0.00385133187229028	1376
11	8342	15	0.0114133536237398	3000
12	8342	20	0.00801167401820275	1691
13	8342	10	0.0150976701775715	5166
8	8343	142	0.000890562754082312	393
9	8343	143	0.000749321755388611	311
10	8343	138	0.000859272445343835	307
4	8344	11	0.0126563015192634	4491
5	8344	84	0.00232640400522421	1026
6	8344	37	0.00536154980327843	2720
7	8344	133	0.00103866601597084	481
8	8344	130	0.000985737399556758	435
9	8344	31	0.00601866799022749	2498
11	8344	114	0.00155602054403652	409
12	8344	75	0.00259633197041698	548
5	8351	64	0.00332634958641707	1467
6	8351	75	0.00291534270553265	1479
8	8351	60	0.00304332259219477	1343
12	8351	50	0.00487049136056323	1028
4	8352	97	0.00131889314429198	468
5	8352	48	0.00450769119140908	1988
6	8352	93	0.00214264876329546	1087
7	8352	51	0.00459517938042816	2128
8	8352	151	0.00085657180927001	378
9	8352	26	0.00638489598643029	2650
10	8352	32	0.00592534125991172	2117
11	8352	47	0.00461099486399087	1212
4	9111	10	0.0127915726109857	4539
5	9111	22	0.00783630822812364	3456
6	9111	10	0.0136798366304236	6940
7	9111	7	0.0146104246654027	6766
8	9111	13	0.0112283421029971	4955
9	9111	22	0.00715349289951378	2969
10	9111	5	0.0215601812589041	7703
11	9111	9	0.0142324519688035	3741
12	9111	24	0.00719202907133754	1518
13	9111	21	0.00794629601486972	2719
4	9112	82	0.00204033896681067	724
5	9112	119	0.00160988971121753	710
8	9112	86	0.00205531912965053	907
9	9112	94	0.00177813329735304	738
10	9112	31	0.00598971671998634	2140
11	9112	54	0.0040745672436751	1071
13	9112	19	0.00950983715792058	3254
4	9121	18	0.00906598129313527	3217
5	9121	122	0.00129698157016398	572
9	9121	80	0.00222628071375909	924
13	9121	63	0.00281437405749155	963
4	9221	2	0.0377631797724628	13400
5	9221	6	0.0213979284574082	9437
6	9221	26	0.00742732340395335	3768
7	9221	15	0.00969133696398571	4488
8	9221	18	0.00889429722588569	3925
9	9221	19	0.00978455192486543	4061
10	9221	112	0.00120354121009071	430
11	9221	67	0.00334791706296367	880
12	9221	7	0.0170846224184738	3606
13	9221	11	0.0144605636931134	4948
9	9222	131	0.000958939095320474	398
11	9222	61	0.00357618413543846	940
4	9231	24	0.00768508889847059	2727
5	9231	65	0.00319710491946017	1410
6	9231	19	0.00851934494476815	4322
7	9231	58	0.00396247846009665	1835
8	9231	11	0.0114934714725331	5072
9	9231	40	0.00493444036989028	2048
10	9231	18	0.00822606422431769	2939
11	9231	39	0.00539851626402891	1419
12	9231	36	0.00643871377335159	1359
13	9231	17	0.0114445366657704	3916
4	9232	32	0.00655501165304092	2326
5	9232	151	0.000920584820780728	406
8	9232	38	0.00499440282442091	2204
9	9232	127	0.000970986068879776	403
10	9232	22	0.00748994483302965	2676
11	9232	134	0.00135438463001712	356
12	9232	104	0.00177668702355176	375
4	9233	68	0.0026236955498629	931
6	9233	34	0.00576366603852431	2924
7	9233	155	0.000861596133830281	399
8	9233	146	0.000874700313169905	386
9	9233	72	0.00259250870996188	1076
10	9233	59	0.00336711645520727	1203
11	9233	60	0.00366368651322047	963
4	9234	47	0.00410322311557506	1456
5	9234	105	0.0018955884487012	836
6	9234	35	0.00573409866828564	2909
7	9234	103	0.00180740843111766	837
